Title	URL	Assignees	Linked pull requests	Sub-issues progress	Start date	Target date	Iteration	Quarter	CAB302_Team
Determine Architecture Map	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/71	Fbature		2 / 2 (100%)	Sep 2, 2026	Sep 6, 2026			CAB302 Team
Define Project Timeline	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/1	8ound, Enduser101, Fbature, Jam577, lifeisthing			Aug 19, 2026	Sep 2, 2026	Iteration 1		CAB302 Team
Determine Style sheets	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/69				Aug 26, 2026	Sep 2, 2026			CAB302 Team
Determine Colour Pallet	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/70				Aug 26, 2026	Sep 2, 2026			CAB302 Team
Develop User Stories	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/72				Aug 19, 2026	Aug 26, 2026			CAB302 Team
Release 1: Auth and household features	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81	Enduser101			Sep 9, 2026	Sep 16, 2026			CAB302 Team
UI - Recommendations	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/49			2 / 2 (100%)	Aug 30, 2026	Sep 12, 2026			UX / UI
UI - Dashboard	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/47		https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 30, 2026	Sep 8, 2026			UX / UI
UI - Scenario Simulator	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/50	Fbature	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 30, 2026	Sep 11, 2026			UX / UI
UI - Household Management	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/51		https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 31, 2026	Sep 12, 2026			UX / UI
UI - Resource Tracking	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/48		https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 30, 2026	Sep 12, 2026			UX / UI
UI - Account	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/52		https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 31, 2026	Sep 12, 2026			UX / UI
UI - Authentication	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/45	Fbature	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 30, 2026	Sep 12, 2026			UX / UI
UI - Household Setup	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/46	Jam577	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)	Aug 30, 2026	Sep 12, 2026			UX / UI
US-06 — Change password	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/14	8ound	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86		Sep 13, 2026	Sep 15, 2026			Features / Logic
US-05 — View account details	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/13	8ound	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/86		Sep 13, 2026	Sep 15, 2026			Features / Logic
US-04 — Restrict household membership to registered users	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/12	lifeisthing	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/84		Sep 13, 2026	Sep 15, 2026			Features / Logic
