Title	URL	Assignees	Status	CAB302_Team	Iteration	Start date	Target date	Quarter
Determine Architecture Map	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/71	Fbature	Done	CAB302 Team		Sep 2, 2026	Sep 6, 2026	
Define Project Timeline	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/1	8ound, Enduser101, Fbature, Jam577, lifeisthing	Done	CAB302 Team	Iteration 1	Aug 19, 2026	Sep 2, 2026	
Determine Style sheets	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/69		Done	CAB302 Team		Aug 26, 2026	Sep 2, 2026	
Determine Colour Pallet	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/70		Done	CAB302 Team		Aug 26, 2026	Sep 2, 2026	
Develop User Stories	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/72		Done	CAB302 Team		Aug 19, 2026	Aug 26, 2026	
Release 1: Auth and household features	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81	Enduser101	Done	CAB302 Team		Sep 9, 2026	Sep 16, 2026	
UI - Recommendations	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/49		Done	UX / UI		Aug 30, 2026	Sep 12, 2026	
UI - Dashboard	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/47		Done	UX / UI		Aug 30, 2026	Sep 8, 2026	
UI - Scenario Simulator	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/50	Fbature	Done	UX / UI		Aug 30, 2026	Sep 11, 2026	
UI - Household Management	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/51		Done	UX / UI		Aug 31, 2026	Sep 12, 2026	
UI - Resource Tracking	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/48		Done	UX / UI		Aug 30, 2026	Sep 12, 2026	
UI - Account	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/52		Done	UX / UI		Aug 31, 2026	Sep 12, 2026	
UI - Authentication	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/45	Fbature	Done	UX / UI		Aug 30, 2026	Sep 12, 2026	
UI - Household Setup	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/46	Jam577	Done	UX / UI		Aug 30, 2026	Sep 12, 2026	
Resource Tracking Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/60		Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Dashboard Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/56		Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Resource tracking Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/59		Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Account Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/68		Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Account Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/67	Jam577	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Household Management Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/66		Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Household Management Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/65	Jam577	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Scenario Simulator Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/64	Fbature	Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Authentication Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/57	Fbature	Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Dashboard Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/55	Jam577	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Recommendation Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/62	Jam577	Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Household Setup Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/58	Jam577	Done	UX / UI		Sep 9, 2026	Sep 12, 2026	
Authentication Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/53	Fbature	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Household Setup Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/54	Jam577	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Recommendations Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/61	Jam577	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
Scenario Simulator Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/63	Fbature	Done	UX / UI		Aug 30, 2026	Sep 9, 2026	
US-06 — Change password	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/14	8ound	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-05 — View account details	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/13	8ound	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-04 — Restrict household membership to registered users	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/12	lifeisthing	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-03 — Try EcoTwin without an account	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/11	lifeisthing	Done	Features / Logic		Sep 13, 2026	Sep 15, 2026	
US-22 — Understand score meaning	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/30	Fbature	In progress - Sprint	Features / Logic				
US-21 — View domain scores	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/29	lifeisthing	In progress - Sprint	Features / Logic				
US-20 — View overall sustainability score	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/28	8ound	In progress - Sprint	Features / Logic				
US-23 — See changes in score after updating household data	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/31	Enduser101	In progress - Sprint	Features / Logic				
US-15 — Record energy information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/23	Enduser101	Done	Features / Logic				
US-18 — Record transport information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/26	Enduser101	Done	Features / Logic				
US-16 — Record water information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/24	Enduser101	Done	Features / Logic				
US-17 — Record waste information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/25	Enduser101	Done	Features / Logic				
