Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Labels	Milestone
US-24 — Receive sustainability recommendations	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/32		Todo			Epic:E7, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-25 — Identify the domain of a recommendation	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/33		Todo			Epic:E7, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-26 — Understand why a recommendation was made	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/34		Todo			Epic:E7, Priority:Could	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-27 — Create a sustainability scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/35		Todo			Epic:E8, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-28 — Compare scenario score to current score	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/36		Todo			Epic:E8, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-29 — Save a scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/37		Todo			Epic:E8, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-30 — View saved scenarios	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/38		Todo			Epic:E8, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-31 — Delete a saved scenario	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/39		Todo			Epic:E8, Priority:Could	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-32 — Remove a household member	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/40		Todo			Epic:E9, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-33 — Rename a household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/41		Todo			Epic:E9, Priority:Could	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-34 — Correct household data	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/42		Todo			Epic:E9, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-35 — Transfer household administrator rights	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/43		Todo			Epic:E9, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-36 — Delete household	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/44		Todo			Epic:E9, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-13 — Record household membership changes	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/21	8ound	In progress - Sprint			Epic:E4, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-12 — View household activity history	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/20	lifeisthing	In progress - Sprint			Epic:E4, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
US-19 — Edit household sustainability information	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/27	Fbature	In progress - Sprint			Epic:E5, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-22 — Understand score meaning	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/30	Fbature	In progress - Sprint			Epic:E6, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-21 — View domain scores	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/29	lifeisthing	In progress - Sprint			Epic:E6, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-20 — View overall sustainability score	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/28	8ound	In progress - Sprint			Epic:E6, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
US-23 — See changes in score after updating household data	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/31	Enduser101	In progress - Sprint			Epic:E6, Priority:Should	CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
Group Video Submission	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/80	8ound, Enduser101, Fbature, Jam577, lifeisthing	In progress - Sprint			Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Guest mode bugs	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/85	lifeisthing	On-Hold			bug	
US-14 — Record household data changes	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/22	Enduser101	Review			Epic:E4, Priority:Must	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
