Status,Story ID,Title,Type,Epic,Priority,Category,Assignees,Milestone,Start Date,Target Date,Issue #,Repository,URL
Todo,US-24,US-24 — Receive sustainability recommendations,Issue,E7,Must,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,32,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/32
Todo,US-25,US-25 — Identify the domain of a recommendation,Issue,E7,Should,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,33,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/33
Todo,US-26,US-26 — Understand why a recommendation was made,Issue,E7,Could,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,34,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/34
Todo,US-27,US-27 — Create a sustainability scenario,Issue,E8,Must,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,35,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/35
Todo,US-28,US-28 — Compare scenario score to current score,Issue,E8,Must,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,36,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/36
Todo,US-29,US-29 — Save a scenario,Issue,E8,Should,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,37,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/37
Todo,US-30,US-30 — View saved scenarios,Issue,E8,Should,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,38,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/38
Todo,US-31,US-31 — Delete a saved scenario,Issue,E8,Could,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,39,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/39
Todo,US-32,US-32 — Remove a household member,Issue,E9,Must,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,40,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/40
Todo,US-33,US-33 — Rename a household,Issue,E9,Could,Features / Logic,,CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points),,,41,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/41
